Donor,ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio log,share of multilateral,"share of cpa, log"
Hungary,-0.17167186152141553,0.5892853258624883,-0.13573721831074467,-0.9304904644610779,0.12197880448846832,0.1233498323248369,-0.7772136079355084,-0.9575081378508776,-0.36429201828975927,2.3045198070082833,0.022123792330549508,-1.0244836760971898,-0.5324416354533197,-0.6886013921577763,1.0375981498371092,-0.3676747165141024,-0.7080513151265784,-0.8011179863985252,0.03171949332712712,1.1447409675023872,-0.8082407747015767,-0.7390147263960736,0.0564119309765007,0.4897933396625443,-0.6854290632131779,-0.14949470848914806,1.5119042814660368
Slovak Republic,-0.733783325518164,1.949018876380865,-0.5292397962863946,-0.19032660883858668,-0.535646236436874,-0.7957195363182511,-0.6362088252176965,-0.9465649260349492,-0.8449974363094426,-0.40013273232539764,-0.35910386172778025,-0.12424844554030536,-0.5017399865117843,0.027984212408851315,-0.6959982984152124,-0.8696821586290016,-0.6878422100120416,-0.19755900805757837,-0.6382218950711049,-0.5310298085513655,-0.8741789333581006,-0.6407689112601109,0.750190713298633,-0.3659039377534035,-0.8249551886481886,0.9221606667104371,-0.5223642803506925
Netherlands,0.9740290278650889,-0.5893143618501995,-0.2949997682973823,-0.19032660883858668,-0.48985777783361917,-0.0608154174642964,1.605394449087432,1.4636397068926545,-0.4879529366621261,-0.6286002982090042,0.11593827067862936,1.469809790244867,-0.40475965320943175,0.9096855372047129,1.1256646030316841,0.23671577541425884,-0.38175672400886695,1.2132550104353552,0.1752404999267446,-0.15576312751027283,-0.4108804994553654,0.2260896446630866,-0.6815602807721848,0.8073012381195718,0.18671521181771117,-0.23226027993079557,-0.7073546036187666
Luxembourg,2.2086250460995247,-0.62940457397915,-0.3313562279044414,-0.5976681728726508,0.054569764578855935,-0.618523737677367,1.4666660214450644,1.5234528005569181,1.0098595784434072,-0.03459888538997143,0.28621765791011006,-0.15506960220781466,-0.31977080234638133,1.9195465386681687,1.5834661756327888,1.0262834014580862,0.20009472422996452,0.6210090331609707,0.24359895714701083,-0.7733623891086426,0.5046897064906507,-0.09479103884669596,-0.28627611105204687,0.9239997868494612,-0.05050646232693215,-0.3637651593899172,0.5559705809166782
New Zealand,-0.21491282897064734,-0.7060546242819761,-0.5154850636945042,0.33482800417579883,3.2842177237773607,-0.8372964219077269,-0.9178346496260055,0.13386670860165545,-0.1498477765417278,0.13791939958335642,-0.030958324049339254,0.3316201656761852,0.0020712185273316086,0.12416803413536731,1.6868947469766673,0.4679376727978454,-0.5424113764957464,1.9784868513687417,-0.5829341244606197,-0.2676176498796937,0.44609328545682325,-0.11245562955583217,-0.35608319410307887,0.5460622734826415,0.6137899724974023,-0.8259625910070485,1.1520082523100246
Korea,-0.7399888407156514,-0.684750064777733,0.6146190685766937,0.33482800417579883,0.943107404305296,-0.7061984423683534,-0.014778204951518766,0.48574924691847227,0.7041590767597787,-0.17807578112478076,2.106256961027462,-0.5259709854317027,0.6463579629042023,-0.5538137881583294,0.694815084313138,-0.18021744029949716,-0.5164727157899485,1.0228464085403315,0.7255126981646272,-0.6117083715281157,-0.30387735705193525,-0.02689307537840112,0.7352231922933915,-0.9439861537190604,0.44264226087125425,-0.7493962168922251,1.387910373149501
Bulgaria,-0.7732045663121623,1.7596378946169131,-0.16651600553409981,0.33482800417579883,-0.4397695229586305,-0.4577272548362543,-1.0214657750948108,-1.0229465094051708,-1.0629095747265669,-0.6135136770455636,-0.6969232888072231,-0.46043763337834437,-0.5415140281389934,0.14109534090834192,-1.1574430483165983,-1.0006717487248253,0.48529928929889743,-0.9144238986383122,0.22518447462834482,1.3885890521069535,-1.2726703721321466,-1.2210174483041616,1.674897594190113,-1.1747608448918199,-0.9099330868567516,1.4654799776206857,0.24377813728207595
Romania,-0.7850976083565054,2.202811990542055,-0.7427729696457277,1.0749918597982902,-0.5056091478270018,-0.7284921112553826,-0.9129064707633785,-1.102349673926655,-1.044792575556657,4.167761631529033,-0.39577747061381857,-0.9089716956146418,-0.5112710731382982,-0.6886013921577763,-1.1574430483165983,-0.9720764943504412,-0.5834931311405703,0.2892750475164736,-1.490268961275503,2.6194794976195137,-0.8851169321088835,-0.7570996865227586,1.2941972797069856,-1.1326503230920377,-0.8481241122743565,0.9801399107035053,1.6523181314270858
Croatia,-0.7635933689344879,2.3159962427986533,-0.8447234868360686,1.0749918597982902,-0.5278178729368778,-0.6610614839848615,-1.0165205691932933,-1.210382957151447,-1.2575225984643423,-0.017656006024086585,2.5722627809390763,-0.9625456703288884,-0.5415140281389934,-0.6714707867039512,-1.1216529408018046,-0.8139813977571915,-0.09066301939027399,-0.8742611131589583,1.20170415678629,-0.2711073684832534,-0.641697125091098,0.0036339399828114443,0.7159078782123647,-0.7679457375672768,-0.7455789424725143,1.0871782953020723,0.8978539904660353
Chinese Taipei,-1.0968594881178837,-0.7062193281772092,-0.856139015112537,1.6001464728126755,2.933183753773406,-0.9497774775471289,-1.0214657750948108,-1.2150734814876936,-1.334034457964899,-0.7925692015276319,-1.006740613357217,-1.1126321531615266,-0.5415140281389934,-0.6886013921577763,-1.1574430483165983,-1.0457473279595246,-0.9000390132731384,-0.9144238986383122,2.0588661826941648,-0.8274609890837059,-1.1032406534343409,-1.0178771314432544,1.5318115718369258,-1.1747608448918199,-0.7855321126891888,0.3028827574253228,-1.6201236394962601
Kuwait,-0.14877980398356272,-0.5979531529056108,-0.37497449825939133,-0.5976681728726508,-0.49348000892201627,2.4850330265364087,-0.6191556135567139,-0.8743600549320122,-0.7472349411000347,-0.6284466558916781,0.7428985926961643,-1.1100907227611885,4.4671332106009345,-0.45251094209829323,2.140020809669023,-1.0421161029325838,-0.6229745351892472,-0.8508326475201266,2.234710249227017,-0.8274609890837059,-1.2671969874253204,-1.1356441886297814,1.5964461050564485,-1.0662655207816265,-0.5496568092306817,-2.045955798498059,1.7820604179645871
Kazakhstan,-1.2696629691276695,-0.7062193281772092,5.308246254180433,2.3403103284351667,-0.538494832319622,-0.9497774775471289,-1.0214657750948108,-1.2111849507946995,-0.6371134886382931,-0.7899691481800811,-0.49577798028261244,2.707005467375289,-0.4882487815889867,-0.6886013921577763,-1.1246212239314557,-0.5525417663856756,0.8825274724729646,2.4110472935558973,-1.0765100878353,-0.7423392624617517,2.0646316602646526,2.7953990024019313,-0.7515332913558247,-1.1668892724878976,2.4438904342012195,0.8570474040252488,-1.649103476116812
Saudi Arabia,-0.2372997123381425,-0.6687641117173454,-0.2011600118370259,-0.5976681728726508,-0.17402164620464988,1.7224671804506668,-0.19727534121363266,0.6270908886364405,0.778972344622262,-0.0351750022944982,1.347584509227358,-0.8137612739079791,0.7122661462781296,-0.6886013921577763,-0.1987452440522927,-0.4198427019611509,-0.10966659655149535,-0.9144238986383122,-0.10639241065086363,-0.39011000208169627,0.8822042640428057,0.5726130489685308,0.038915579818147535,-0.728745031548867,1.3218433291568945,-0.7432455092182513,0.8788588605981745
Azerbaijan,-0.8836899533470682,-0.21626413277593615,1.0370520565814498,0.33482800417579883,-0.47898012557546155,0.24212517034576858,-0.42448238551287715,-0.5062904571383119,0.3050580323044209,-0.23599165775365363,4.398619845158164,-0.8878230635543806,-0.2718239760202719,-0.6872668223832569,0.9358182333281975,-0.543598706699183,-0.6708487276762519,2.653576184321964,-0.37781567798388077,-0.8259140170012251,1.227181534128717,1.6425662430337324,-0.15585748667160731,-1.0320594811630166,1.3139012823318392,0.30410235786287043,-0.8949988702333607
Cyprus,-1.105806547981556,-0.423336807594751,1.5560117424368856,1.0749918597982902,-0.538494832319622,1.04391352659129,-1.0214657750948108,-0.5881747071563149,-1.2293359181483356,-0.7925692015276319,0.008551638215115294,-1.0619927845669197,-0.5415140281389934,-0.6886013921577763,-1.0951060813634967,-0.7824708462080593,3.838933192625586,-0.9144238986383122,-1.2665712260791753,-0.7691287361305275,3.0856920593001345,3.803906149865779,-1.5558075782595158,-0.8907142302952904,-0.49448333851978316,1.8083261034008196,-1.9021955937201134
Thailand,-1.3235534847613832,-0.7038417297948243,-0.3526710422687662,1.0749918597982902,3.3218902463129085,-0.9288315187059158,-0.9490089760371296,2.097769196262105,2.8355901509822443,-0.7925692015276319,-1.006740613357217,-1.1126321531615266,3.3356833921247184,-0.6886013921577763,-1.1574430483165983,-1.0457473279595246,-0.9000390132731384,-0.9144238986383122,2.2519036596507327,-0.8274609890837059,-1.2726703721321466,-1.2210174483041616,-0.5752697237819712,-1.1747608448918199,-0.9099330868567516,-1.271916532386089,1.9210926283050909
Qatar,0.3864926632284725,-0.4746412844758426,-0.6377351234075251,-0.5976681728726508,-0.4712536993197702,2.2256295707221634,-0.2993768429728609,-0.5034712783868922,1.7409887311571854,0.010362447311014789,-0.0531126543021495,-0.8673076428065658,-0.28836202659901805,-0.6886013921577763,-1.1574430483165983,1.524019846186908,1.5183200862275377,-0.8572475447789712,0.9876178365711709,-0.5492037899591964,-0.32973981825009857,-0.15076255137860736,-0.17212044000490628,0.6937126139928332,1.7477128359234477,-1.1971452552761899,-0.36037676345207365
